Address,Price €,Rooms,Size m2,Floor,Lift,Links,Price/M2
"Piso en Meridiana, 92, El Clot, Barcelona",530000,4,158,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/93370835/,3354.43
"Piso en calle de Biscaia, El Clot, Barcelona",379800,4,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100812014/,4220.0
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100380758/,4411.76
"Piso en plaza Mercat, El Clot, Barcelona",225000,2,60,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/100690177/,3750.0
"Piso en calle d'Aragó, El Clot, Barcelona",415000,4,100,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99049909/,4150.0
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,102,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100536432/,3676.47
"Piso en calle de Aragón, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100596289/,4411.76
"Piso en calle del Clot, 88, El Clot, Barcelona",509000,3,103,Planta 1 exterior,Sin ascensor,https://www.idealista.com/inmueble/90841651/,4941.75
"Piso en avenida Meridiana, 210, El Clot, Barcelona",250000,3,77,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/100318888/,3246.75
"Piso en calle de Mallorca, El Clot, Barcelona",190000,2,64,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/100039464/,2968.75
"Piso en Arago, El Clot, Barcelona",218500,3,82,Planta 5 exterior,Sin ascensor,https://www.idealista.com/inmueble/96435873/,2664.63
"Piso en calle d'Espronceda, 271, El Clot, Barcelona",130000,1,39,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/96976220/,3333.33
"Ático en calle del Clot, El Clot, Barcelona",650000,4,175,exterior,Con ascensor,https://www.idealista.com/inmueble/99307855/,3714.29
"Piso en El Clot, Barcelona",660000,4,156,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/99252800/,4230.77
"Piso en El Clot, Barcelona",255000,1,50,Bajo exterior,Sin ascensor,https://www.idealista.com/inmueble/100892855/,5100.0
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",420000,4,119,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100882219/,3529.41
"Piso en calle del Concili de Trento, El Clot, Barcelona",390000,4,105,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100865436/,3714.29
