Address,Price €,Rooms,Size m2,Floor,Lift,Links,Price_M2,Clot_Price_Alert,YoY_Price_Alert
"Piso en calle de Biscaia, El Clot, Barcelona",379800,4,94,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/97301401/,4040.43,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100325421/,4055.56,Over Priced,Not Best Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,75,exterior,Con ascensor,https://www.idealista.com/inmueble/100357573/,5000.0,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",328000,4,82,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/100921200/,4000.0,Over Priced,Not Best Price YoY
"Piso en calle de Mallorca, El Clot, Barcelona",276000,3,89,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100893798/,3101.12,Good Price,Good Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",290000,3,88,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100623222/,3295.45,Not Best Price,Good Price YoY
"Piso en El Clot, Barcelona",439350,3,90,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/97601468/,4881.67,Over Priced,Not Best Price YoY
"Piso en calle de Aragón, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100971548/,4411.76,Over Priced,Not Best Price YoY
"Piso en calle de Rafael Capdevila, El Clot, Barcelona",265000,4,84,,Sin ascensor,https://www.idealista.com/inmueble/100963749/,3154.76,Good Price,Good Price YoY
"Piso en calle de Biscaia, El Clot, Barcelona",379800,4,92,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/98297829/,4128.26,Over Priced,Not Best Price YoY
"Piso en calle de Mallorca, El Clot, Barcelona",360000,4,76,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100932317/,4736.84,Over Priced,Not Best Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100357524/,4411.76,Over Priced,Not Best Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",255000,3,73,Planta 9 exterior,Con ascensor,https://www.idealista.com/inmueble/100786224/,3493.15,Not Best Price,Not Best Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/100800863/,2932.77,Good Price,Good Price YoY
"Piso en calle de Valencia, El Clot, Barcelona",205000,2,68,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/99638652/,3014.71,Good Price,Good Price YoY
"Piso en camino de la Verneda, El Clot, Barcelona",120000,2,51,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/99561116/,2352.94,Good Price,Good Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta,Con ascensor,https://www.idealista.com/inmueble/100805739/,2932.77,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100347354/,4055.56,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",222000,1,70,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/92509544/,3171.43,Good Price,Good Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/100868887/,2932.77,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",398000,4,91,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100844107/,4373.63,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",450000,4,106,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100878817/,4245.28,Over Priced,Not Best Price YoY
"Piso en plaza del Mercat, El Clot, Barcelona",660000,4,156,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/99467593/,4230.77,Over Priced,Not Best Price YoY
"Piso en calle de València, El Clot, Barcelona",360000,3,110,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/99862963/,3272.73,Not Best Price,Good Price YoY
"Piso en El Clot, Barcelona",398000,4,91,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100913011/,4373.63,Over Priced,Not Best Price YoY
"Piso en calle d'Andrade, El Clot, Barcelona",365000,3,90,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100861111/,4055.56,Over Priced,Not Best Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100410208/,4411.76,Over Priced,Not Best Price YoY
"Piso en calle d'Espronceda, El Clot, Barcelona",450000,4,106,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100860995/,4245.28,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",450000,4,106,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/99858173/,4245.28,Over Priced,Not Best Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",240000,4,86,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/100872542/,2790.7,Good Price,Good Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",420000,4,119,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100882219/,3529.41,Not Best Price,Not Best Price YoY
"Piso en calle del Concili de Trento, El Clot, Barcelona",390000,4,105,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100865436/,3714.29,Not Best Price,Not Best Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",349000,4,119,Entreplanta,Con ascensor,https://www.idealista.com/inmueble/100805811/,2932.77,Good Price,Good Price YoY
"Piso en calle d'Espronceda, El Clot, Barcelona",255000,3,73,Planta 9 exterior,Con ascensor,https://www.idealista.com/inmueble/100742164/,3493.15,Not Best Price,Not Best Price YoY
"Piso en calle del Concili de Trento, El Clot, Barcelona",390000,4,105,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100865437/,3714.29,Not Best Price,Not Best Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",247000,1,40,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100597670/,6175.0,Over Priced,Not Best Price YoY
"Ático en calle del Concili de Trento, El Clot, Barcelona",340000,3,75,Planta 8 exterior,Con ascensor,https://www.idealista.com/inmueble/100872143/,4533.33,Over Priced,Not Best Price YoY
"Piso en calle de Guipúscoa, El Clot, Barcelona",349000,3,82,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/100037873/,4256.1,Over Priced,Not Best Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",218500,2,82,Planta 4 exterior,Sin ascensor,https://www.idealista.com/inmueble/100091600/,2664.63,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",124000,1,27,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100441105/,4592.59,Over Priced,Not Best Price YoY
"Piso en calle de Valencia, 660, El Clot, Barcelona",205000,2,60,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/100433884/,3416.67,Not Best Price,Good Price YoY
"Piso en calle de Aragón, El Clot, Barcelona",375000,3,75,Planta 2 interior,Con ascensor,https://www.idealista.com/inmueble/100884458/,5000.0,Over Priced,Not Best Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",235000,2,58,Planta 1 exterior,Sin ascensor,https://www.idealista.com/inmueble/100779533/,4051.72,Over Priced,Not Best Price YoY
"Piso en Gran Via de les Corts Catalanes, El Clot, Barcelona",315000,3,78,Entreplanta exterior,Con ascensor,https://www.idealista.com/inmueble/98757136/,4038.46,Over Priced,Not Best Price YoY
"Piso en calle de València, El Clot, Barcelona",205000,2,60,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/100868382/,3416.67,Not Best Price,Good Price YoY
"Piso en El Clot, Barcelona",247000,1,40,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100864464/,6175.0,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",280000,3,90,Planta 3 interior,Con ascensor,https://www.idealista.com/inmueble/100964304/,3111.11,Good Price,Good Price YoY
"Piso en calle del Clot, El Clot, Barcelona",399000,3,107,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100536939/,3728.97,Not Best Price,Not Best Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",530000,4,159,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/95532442/,3333.33,Not Best Price,Good Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100397411/,4411.76,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",450000,4,106,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100210610/,4245.28,Over Priced,Not Best Price YoY
"Piso en calle del Clot, El Clot, Barcelona",335000,3,86,Planta 1 interior,Sin ascensor,https://www.idealista.com/inmueble/100868998/,3895.35,Over Priced,Not Best Price YoY
"Piso en Aragó, El Clot, Barcelona",375000,2,85,Planta 3 exterior,Con ascensor,https://www.idealista.com/inmueble/100831389/,4411.76,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",398000,4,91,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100877710/,4373.63,Over Priced,Not Best Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100371847/,4411.76,Over Priced,Not Best Price YoY
"Piso en calle del Clot, El Clot, Barcelona",187000,2,78,Planta 3 exterior,Sin ascensor,https://www.idealista.com/inmueble/99095184/,2397.44,Good Price,Good Price YoY
"Piso en calle del Clot, El Clot, Barcelona",261000,2,94,Planta 2 exterior,Sin ascensor,https://www.idealista.com/inmueble/99095183/,2776.6,Good Price,Good Price YoY
"Piso en calle de Lope de Vega con Carrer Andrade, El Clot, Barcelona",398000,4,91,Planta 6 interior,Con ascensor,https://www.idealista.com/inmueble/100858016/,4373.63,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",165000,3,53,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100942383/,3113.21,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",209000,2,62,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100843886/,3370.97,Not Best Price,Good Price YoY
"Piso en calle de la Corunya, El Clot, Barcelona",245000,3,78,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/97884488/,3141.03,Good Price,Good Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",375000,3,85,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100747989/,4411.76,Over Priced,Not Best Price YoY
"Piso en plaza del Canonge Rodó, El Clot, Barcelona",222000,1,70,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/98446122/,3171.43,Good Price,Good Price YoY
"Piso en calle de las Navas de Tolosa, El Clot, Barcelona",270000,3,89,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100060048/,3033.71,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",459000,4,101,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/96836147/,4544.55,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",259000,3,71,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100898336/,3647.89,Not Best Price,Not Best Price YoY
"Piso en El Clot, Barcelona",205000,2,68,Planta 3 exterior,Sin ascensor,https://www.idealista.com/inmueble/100738939/,3014.71,Good Price,Good Price YoY
"Chalet en El Clot, Barcelona",2350000,8,680,N/A,N/A,https://www.idealista.com/inmueble/100833491/,3455.88,Not Best Price,Good Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",240000,4,86,Planta 4 exterior,Con ascensor,https://www.idealista.com/inmueble/100709918/,2790.7,Good Price,Good Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",370000,3,88,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/98238784/,4204.55,Over Priced,Not Best Price YoY
"Piso en rambla guipuscoa, El Clot, Barcelona",295000,3,87,Planta 6 exterior,Con ascensor,https://www.idealista.com/inmueble/100437839/,3390.8,Not Best Price,Good Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",235000,2,58,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100277741/,4051.72,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",209000,2,61,Bajo exterior,Con ascensor,https://www.idealista.com/inmueble/97742278/,3426.23,Not Best Price,Good Price YoY
"Piso en El Clot, Barcelona",350000,3,95,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100609346/,3684.21,Not Best Price,Not Best Price YoY
"Piso en El Clot, Barcelona",315000,3,72,,Con ascensor,https://www.idealista.com/inmueble/99864088/,4375.0,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",375000,3,85,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/100188172/,4411.76,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",181000,2,46,Planta 1 exterior,Con ascensor,https://www.idealista.com/inmueble/99791499/,3934.78,Over Priced,Not Best Price YoY
"Piso en El Clot, Barcelona",249000,2,83,Bajo exterior,Sin ascensor,https://www.idealista.com/inmueble/100719800/,3000.0,Good Price,Good Price YoY
"Piso en El Clot, Barcelona",259000,3,77,Planta 7 exterior,Con ascensor,https://www.idealista.com/inmueble/100095013/,3363.64,Not Best Price,Good Price YoY
"Piso en calle d'Aragó, El Clot, Barcelona",218500,2,82,Planta 4 exterior,Sin ascensor,https://www.idealista.com/inmueble/96294221/,2664.63,Good Price,Good Price YoY
"Piso en Gran via de les Corts Catalenes, s/n, El Clot, Barcelona",200000,2,75,Bajo interior,Con ascensor,https://www.idealista.com/inmueble/100462929/,2666.67,Good Price,Good Price YoY
"Piso en calle del Clot, El Clot, Barcelona",213000,2,89,Bajo exterior,Sin ascensor,https://www.idealista.com/inmueble/100751362/,2393.26,Good Price,Good Price YoY
"Piso en avenida Meridiana, El Clot, Barcelona",367000,4,108,Planta 1,Sin ascensor,https://www.idealista.com/inmueble/100046385/,3398.15,Not Best Price,Good Price YoY
"Piso en calle d'Aragó, 612, El Clot, Barcelona",290000,3,75,Planta 2 exterior,Con ascensor,https://www.idealista.com/inmueble/100275849/,3866.67,Over Priced,Not Best Price YoY
